Transaction Date,Transaction Type,Product id,Sku Id,Buyer Country,Buyer Postal Code,Amount (Merchant Currency)
"Jun 1, 2021",Charge,com.vansteinengroentjes.apps.ddpf,premium,US,98204,2.04
"Jun 1, 2021",Google fee,com.vansteinengroentjes.apps.ddpf,premium,US,98204,-0.61
"Jun 1, 2021",Charge,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,98204,1.63
"Jun 1, 2021",Google fee,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,98204,-0.49
"Jun 1, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,62011,4.49
"Jun 1, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,62011,-1.35
"Jun 1, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,55320,2.86
"Jun 1, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,55320,-0.86
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54220,4.51
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54220,-1.35
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78250,4.5
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78250,-1.35
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,74830,2.86
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,74830,-0.86
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,IL,7548207,3.25
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,IL,7548207,-0.98
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,YO24 4NG,2.83
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,SE,226 48,1.72
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,74429,2.86
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,74429,-0.86
"Jun 2, 2021",Charge,com.vansteinengroentjes.ddchat,premium,US,54741,3.68
"Jun 2, 2021",Google fee,com.vansteinengroentjes.ddchat,premium,US,54741,-1.11
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25123,4.5
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25123,-1.35
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,25123,2.86
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,25123,-0.86
"Jun 2, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90803,4.5
"Jun 2, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90803,-1.35
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.whisky,com.vansteinengroentjes.apps.whisky.adverts,GB,G4 0HF,0.91
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,85203,2.88
"Jun 3, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,85203,-0.87
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98662,4.53
"Jun 3, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98662,-1.36
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,15108,4.53
"Jun 3, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,15108,-1.36
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91913,4.53
"Jun 3, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91913,-1.36
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,33773,2.88
"Jun 3, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,33773,-0.87
"Jun 3, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,79412,2.88
"Jun 3, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,79412,-0.87
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,07480,2.88
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,07480,-0.87
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,NL,7523 ZA,1.73
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64029,4.53
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64029,-1.36
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,85204,1.64
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddpf,unlockcharactermanager,US,85204,-0.49
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddpf,premium,US,63501,2.05
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddpf,premium,US,63501,-0.62
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48312,4.51
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48312,-1.36
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,45710,2.87
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,45710,-0.86
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,45710,4.51
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,45710,-1.36
"Jun 4, 2021",Charge,com.vansteinengroentjes.apps.ddfive,premium,US,53575,2.87
"Jun 4, 2021",Google fee,com.vansteinengroentjes.apps.ddfive,premium,US,53575,-0.86
"Jun 5, 2021",Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,11210,4.51
