Order Number,Transaction Date,Order Charged Timestamp,Transaction Type,Device Model,Product Title,Product id,Product Type,Sku Id,Currency of Sale,Item Price,Taxes Collected,Amount (Buyer Currency),City of Buyer,State of Buyer,Buyer Postal Code,Buyer Country,Base Plan ID,Offer ID
GPA.3349-0743-5556-18924,2021-11-01,1635789195,Charged,OP4C7BL1,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,RUB,90.83,18.17,109.00,Москва,Москва,115563,RU,,
GPA.3331-6095-4985-59577,2021-11-01,1635791825,Charged,camellian,Remove advertisements (Whisky App),com.vansteinengroentjes.apps.whisky,inapp,com.vansteinengroentjes.apps.whisky.adverts,EUR,1.50,0.32,1.82,,,,BE,,
GPA.3343-4112-5826-01193,2021-11-01,1635793625,Charged,judypn,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.38,5.87,LEEDS,ND,58346,US,,
GPA.3397-2825-9429-70987,2021-11-01,1635805062,Charged,merlinnfc,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.19,0.8,4.99,,,,DE,,
GPA.3331-1672-8520-93384,2021-11-01,1635807251,Charged,ASUS_Z01QD_1,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,GBP,2.16,0.43,2.59,,,,GB,,
GPA.3316-0017-1728-82204,2021-11-01,1635807270,Charged,ASUS_Z01QD_1,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3304-8267-3965-87808,2021-11-02,1635813878,Charged,acexlm,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.35,5.84,Meriden,CT,06451,US,,
GPA.3386-5676-5771-00719,2021-11-02,1635823619,Charged,sofiap,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.29,3.78,BLUE MOUND,TX,76131,US,,
GPA.3316-8440-8865-94581,2021-11-02,1635846393,Charged,TECNO-KF7j,Euro 2012,com.droidbs.apps.ekapp2012,paidapp,,GHS,5.00,0.88,5.88,Tema,,,GH,,
GPA.3316-8440-8865-94581,2021-11-02,1635846393,Refund,TECNO-KF7j,Euro 2012,com.droidbs.apps.ekapp2012,paidapp,,GHS,5.00,-0.88,-5.88,Tema,,,GH,,
